time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,temp_raw
16396,-16008,-314,-1590,-725,-47,-30,-3590
16406,-16032,-282,-1658,-721,-30,-48,-3590
16416,-16076,-284,-1746,-703,-28,-49,-3585
16427,-16084,-370,-1698,-693,-45,-69,-3585
16437,-16052,-332,-1692,-695,-59,-80,-3581
16447,-16022,-388,-1672,-703,-66,-73,-3586
16457,-16034,-370,-1740,-702,-50,-42,-3585
16467,-15954,-362,-1546,-715,-70,-47,-3588
16477,-16036,-312,-1678,-734,-60,-40,-3592
16487,-15968,-314,-1606,-729,-56,-42,-3590
16497,-16046,-334,-1666,-722,-41,-11,-3585
16507,-16030,-282,-1702,-699,-47,9,-3592
16517,-16036,-272,-1726,-703,-38,-14,-3591
16527,-15986,-344,-1684,-703,-49,-37,-3593
16537,-15948,-332,-1650,-704,-59,-54,-3587
16547,-16008,-264,-1740,-706,-37,-36,-3587
16557,-15972,-296,-1634,-714,-55,-25,-3585
16567,-16046,-312,-1686,-710,-43,-25,-3585
16577,-16018,-316,-1614,-711,-51,-41,-3585
16587,-16010,-330,-1700,-709,-41,-37,-3589
16598,-16078,-320,-1722,-706,-55,-23,-3597
16608,-16020,-324,-1598,-693,-61,-50,-3593
16618,-15948,-300,-1618,-707,-43,-58,-3589
16628,-15916,-342,-1720,-735,-29,-28,-3591
16638,-16018,-356,-1656,-740,-40,5,-3589
16648,-16064,-346,-1708,-729,-53,10,-3591
16658,-16036,-256,-1736,-710,-46,-13,-3590
16668,-15968,-250,-1732,-680,-57,-41,-3591
16678,-15992,-336,-1632,-670,-64,-76,-3587
16688,-15896,-474,-1670,-689,-59,-98,-3584
16698,-15982,-406,-1716,-734,-57,-37,-3588
16708,-16050,-374,-1688,-742,-53,20,-3587
16718,-16028,-356,-1664,-723,-49,26,-3592
16728,-16038,-258,-1714,-706,-37,-7,-3586
16738,-16032,-276,-1746,-693,-44,-50,-3582
16748,-15976,-402,-1562,-727,-62,-38,-3591
16758,-15930,-388,-1654,-734,-58,-8,-3594
16768,-15988,-290,-1656,-726,-53,9,-3586
16778,-16052,-266,-1742,-717,-37,-1,-3583
16788,-16052,-294,-1686,-693,-40,-42,-3588
16798,-16058,-338,-1740,-692,-64,-82,-3585
16808,-15994,-378,-1610,-701,-77,-98,-3590
16818,-16020,-392,-1628,-699,-67,-75,-3593
16828,-15960,-342,-1742,-695,-59,-43,-3591
16838,-16000,-376,-1624,-703,-55,-10,-3592
16848,-16068,-322,-1732,-706,-52,-4,-3591
16858,-16032,-334,-1770,-712,-67,-23,-3589
16868,-15986,-312,-1636,-719,-93,-39,-3588
16878,-15996,-260,-1720,-717,-70,-34,-3591
16888,-15962,-326,-1630,-709,-55,-52,-3593
16898,-16010,-296,-1718,-705,-34,-47,-3591
16908,-16044,-328,-1696,-703,-44,-48,-3585
